uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
536cda6e8a7b3bdcda0ad76d37a83485,"El cantautor cubano Silvio Rodríguez homenajeó a Diego Armando Maradona. Fue un héroe de los sentimientos del pueblo, elogió el trovador en memoria del Diez, fallecido el miércoles de la semana pasada a los 60 años.",Silvio Rodríguez homenajeó a Diego Maradona,https://www.pagina12.com.ar/309011-silvio-rodriguez-homenajeo-a-diego-maradona,pagina12,www.pagina12.com.ar,5,19
5c7af7c7dc89e722bd6787a0a803c65c,"Los empresarios fabriles llegan a la 26° Conferencia Industrial en una relación fluida y de ruidos puntuales con el Gobierno. Tienen, según aseguran ellos mismos, el mismo prisma que el Ejecutivo y sus ministros para analizar el sector y trazar líneas, y los choques son más bien de forma que de fondo. Los hechos más recientes, el Aporte a las Grandes Fortunas y la prórroga de la doble indemnización, que creen meten ruido en un contexto de potencial inversor.",Heridos del macrismo y ejes de la reactivación ,https://www.pagina12.com.ar/309084-heridos-del-macrismo-y-ejes-de-la-reactivacion,pagina12,www.pagina12.com.ar,4,39
e5b1f8e4acbe3605b675a0990e87d9f4,"En la tarde del sábado se llevó adelante en distintos puntos del país la caravana ""ProVida, en rechazo del proyecto de Ley que propone legalizar la interrupción voluntaria del embarazo (IVE), enviado al Congreso por el presidente Alberto Fernández. En ese contexto, en Tandil -ciudad natal de Mauricio Macri- un grupo de personas decidió manifestarse a bordo de un Falcon color verde, símbolo del terrorismo de Estado en la última dictadura cívico-militar",Un Falcon verde desfiló en la marcha de los antiderechos ,https://www.pagina12.com.ar/308885-un-falcon-verde-desfilo-en-la-marcha-de-los-antiderechos,pagina12,www.pagina12.com.ar,5,38
b8faf3ff425b0ca49debc2512cf22ef0,"El vaso medio vacío o el vaso medio lleno. Este año no hubo encuentros cara a cara, ni conversaciones a la salida de las funciones, ni la incomparable sensación de la sala a oscuras segundos antes de que comience la proyección. A cambio, los espectadores de todo el país pudieron acceder gratuitamente a la programación del 35° Festival Internacional de Cine de Mar del Plata, reconvertido a fuerza de necesidad en un evento virtual. Las salas marplatenses estuvieron cerradas, pero el cine siguió vivo en el sitio web del festival, que recibió 250.000 visualizaciones, según consignaron las autoridades del festival. Competencias, focos, estrenos y homenajes ocuparon la página web a lo largo de ocho días y no faltaron, a pesar de la falta de presencialidad, las charlas, clases maestras y mesas redondas, registradas desde la ahora ubicua aplicación Zoom. La ceremonia de premiación, que se llevó a cabo este domingo a la noche, no fue la excepción a las reglas de la nueva normalidad, y es de suponer que las deliberaciones de los jurados fueron efectuadas en la intimidad de los hogares, repartidos en varios continentes, pantalla compartida de por medio.",Festival Internacional de Cine de Mar del Plata,https://www.pagina12.com.ar/308881-festival-internacional-de-cine-de-mar-del-plata,pagina12,www.pagina12.com.ar,5,98
e6e597eb3b9fa6931e46830c59de39cb,"El gobierno local comenzó a hilvanar una red de contención que amortigüe cualquier hipótesis de tensión social como las que suelen surgir en diciembre con el advenimiento de las fiestas de fin de año. Son cinco líneas de acción con una inversión comprometida que parte de los 20 millones de pesos de recursos propios, además de otros aportes vía convenios por parte de los gobiernos de Nación y de la Provincia de Santa Fe. En los barrios, mientras tanto, los referentes de comedores y merenderos confrontan la demanda creciente de alimentos que perciben en sus comunidades y la pérdida incontenible de poder de compra con los escasos recursos que reciben para su función social.",Lo que harán para que diciembre no desborde,https://www.pagina12.com.ar/308862-lo-que-haran-para-que-diciembre-no-desborde,pagina12,www.pagina12.com.ar,3,58
101da12c7ef3826f986175f624806761,"Con protocolos sanitarios y permisos de circulación pero sin testeos obligatorios, este martes comenzará en la Costa Atlántica de la provincia de Buenos Aires una atípica temporada de verano. En las playas habrá distanciamiento social y tapabocas, en los hoteles estarán cerrados los espacios comunes y los micros de larga distancia circularán con cupo limitado. Las autoridades nacionales y provinciales coinciden en que la mayor afluencia de gente comenzará a sentirse a partir del fin de semana largo del Día de la Virgen, con un aumento en la segunda quincena de diciembre, en el marco de lo que consideran ""la mejor temporada posible"". ",Comienza la temporada de verano en la Costa Atántica bonaerense,https://www.pagina12.com.ar/309086-comienza-la-temporada-de-verano-en-la-costa-atantica-bonaere,pagina12,www.pagina12.com.ar,6,54
01751eff3023ef5f4601c9057926a54e,"Familiares y amigos de la docente salteña Paola Tacacho hicieron una amplia convocatoria a marchar hoy, a partir de las 18, alrededor de la plaza 9 de Julio de la ciudad de Salta al cumplirse un mes del femicidio cometido el 30 de octubre en San Miguel de Tucumán. ",Convocan a una movilización al mes del crimen de Paola Tacacho,https://www.pagina12.com.ar/308972-convocan-a-una-movilizacion-al-mes-del-crimen-de-paola-tacac,pagina12,www.pagina12.com.ar,6,23
6386cd1e61dade85bac05d9485b4ad18,"Mi viejo no era fanático así que recién me apasioné por el fútbol a los diez años, durante el Mundial 86. Al principio, por lo que generan ese tipo de eventos y después por todo lo que Maradona hizo allí. Fue la primera vez que empecé a coleccionar diarios y la primera vez, y la única, que salí a la calle a festejar un campeonato mundial. Me había hecho de River por mi viejo, pero Diego me convirtió en hincha.","Maradona, el fin de la resurrección  ",https://www.pagina12.com.ar/308800-maradona-el-fin-de-la-resurreccion,pagina12,www.pagina12.com.ar,3,36
5f6491b33e46e820ce6ca08ef6c5590c,"Este lunes, una investigación publicada en la prestigiosa revista Nature Neuroscience planteó que el Sars CoV-2 podría ingresar en el cerebro de los infectados a partir de la nariz. El trabajo fue desarrollado por un equipo de investigadores del Charité, uno de los hospitales universitarios más grandes de Europa, que forma parte de la Facultad de Medicina de la Universidad Libre de Berlín y de la Universidad Humboldt de la misma ciudad. Para arribar a tal resultado, realizaron autopsias a 33 pacientes fallecidos por covid-19 y hallaron ARN viral y otras proteínas alojadas en sus cerebros y nasofaringes. Si en el corto plazo se sumaran más trabajos que comprobasen esta hipótesis, el avance podría explicar los síntomas neurológicos que algunos pacientes evidenciaron, así como también, ser fundamental para el diagnóstico y la aplicación de nuevas medidas de prevención. Pues el principio es sencillo y vale para todas las disciplinas: a mayor conocimiento básico de estructura y funcionamiento, mayores serán las chances de diseñar mejores estrategias de mitigación y control del patógeno.",Coronavirus: investigan si podría ingresar al cerebro a través de la nariz  ,https://www.pagina12.com.ar/309072-coronavirus-investigan-si-podria-ingresar-al-cerebro-a-trave,pagina12,www.pagina12.com.ar,8,90
cc05e469f0ef15dc32a7e601ec7831de,"La fecha ayudó para romper el hielo: que el 30 de noviembre se conmemore el Día de la Amistad Argentino-Brasileña fue la ""excusa"" ideal para que Alberto Fernández y Jair Bolsonaro, después fuertes cruces basados en dos visiones del mundo completamente distintas, pudieran tener su primera charla por videoconferencia desde la residencia de Olivos. Es que hace 35 años, Raúl Alfonsín y José Sarney sentaron en Foz de Iguazú las bases del proyecto integrador más importante de la región que en 1991 derivó en la creación del Mercosur.","Alberto Fernández en su primera charla con Jair Bolsonaro: ""Hay que dejar las diferencias del pasado""",https://www.pagina12.com.ar/309022-alberto-fernandez-en-su-primera-charla-con-jair-bolsonaro-ha,pagina12,www.pagina12.com.ar,9,47
